word,written_freq,spoken_freq,zhuyin,pinyin,tags
['不錯'],97,204,['ㄅㄨˊ ㄘㄨㄛˋ'],['búcuò'],"level-1-star, basic, context-core"
['菜'],79,350,['ㄘㄞˋ'],['cài'],"level-1-star, basic, context-food-dining"
['餐廳'],54,79,['ㄘㄢ ㄊㄧㄥ'],['cāntīng'],"level-1-star, basic, context-food-dining"
['長'],434,469,['ㄔㄤˊ'],['cháng'],"level-1-star, basic, context-core"
['唱'],89,78,['ㄔㄤˋ'],['chàng'],"level-1-star, basic, context-core"
['唱歌'],29,35,['ㄔㄤˋ ㄍㄜ'],['chàng gē'],"level-1-star, basic, context-leisure-entertainment"
"['常常', '常']",507,691,"['ㄔㄤˊ ㄔㄤˊ', 'ㄔㄤˊ']","['chángcháng', 'cháng']","level-1-star, basic, context-core"
['出'],350,216,['ㄔㄨ'],['chū'],"level-1-star, basic, context-core"
['穿'],189,193,['ㄔㄨㄢ'],['chuān'],"level-1-star, basic, context-daily-routines"
['床'],122,53,['ㄔㄨㄤˊ'],['chuáng'],"level-1-star, basic, context-core"
['從'],1948,1910,['ㄘㄨㄥˊ'],['cóng'],"level-1-star, basic, context-core"
['錯'],195,341,['ㄘㄨㄛˋ'],['cuò'],"level-1-star, basic, context-core"
['蛋'],41,51,['ㄉㄢˋ'],['dàn'],"level-1-star, basic, context-food-dining"
['得'],2471,1542,['˙ㄉㄜ'],['de'],"level-1-star, basic, context-core"
['得'],2471,1542,['ㄉㄟˇ'],['děi'],"level-1-star, basic, context-core"
['等'],1163,650,['ㄉㄥˇ'],['děng'],"level-1-star, basic, context-core"
['低'],122,169,['ㄉㄧ'],['dī'],"level-1-star, basic, context-core"
['地方'],563,1183,['ㄉㄧˋ ㄈㄤ'],['dìfāng'],"level-1-star, basic, context-core"
['店'],73,56,['ㄉㄧㄢˋ'],['diàn'],"level-1-star, basic, context-core"
['電腦'],226,117,['ㄉㄧㄢˋ ㄋㄠˇ'],['diànnǎo'],"level-1-star, basic, context-core"
['電視'],125,126,['ㄉㄧㄢˋ ㄕˋ'],['diànshì'],"level-1-star, basic, context-daily-routines"
['電影'],282,70,['ㄉㄧㄢˋ ㄧㄥˇ'],['diànyǐng'],"level-1-star, basic, context-leisure-entertainment"
['懂'],133,179,['ㄉㄨㄥˇ'],['dǒng'],"level-1-star, basic, context-core"
['讀'],204,133,['ㄉㄨˊ'],['dú'],"level-1-star, basic, context-core"
['短'],82,75,['ㄉㄨㄢˇ'],['duǎn'],"level-1-star, basic, context-core"
['多久'],19,30,['ㄉㄨㄛ ㄐㄧㄡˇ'],['duōjiǔ'],"level-1-star, basic, context-core"
['餓'],41,46,['ㄜˋ'],['è'],"level-1-star, basic, context-core"
['耳朵'],57,28,['ㄦˇ ˙ㄉㄨㄛ'],['ěrduo'],"level-1-star, basic, context-health-medical"
['飯'],79,113,['ㄈㄢˋ'],['fàn'],"level-1-star, basic, context-core"
['方便'],54,124,['ㄈㄤ ㄅㄧㄢˋ'],['fāngbiàn'],"level-1-star, basic, context-core"
['房間'],172,48,['ㄈㄤˊ ㄐㄧㄢ'],['fángjiān'],"level-1-star, basic, context-core"
['房子'],148,184,['ㄈㄤˊ ˙ㄗ'],['fángzi'],"level-1-star, basic, context-core"
['非常'],663,1544,['ㄈㄟ ㄔㄤˊ'],['fēicháng'],"level-1-star, basic, context-core"
['飛機'],79,65,['ㄈㄟ ㄐㄧ'],['fēijī'],"level-1-star, basic, context-travel-transport"
['風'],101,201,['ㄈㄥ'],['fēng'],"level-1-star, basic, context-core"
['分鐘'],232,125,['ㄈㄣ ㄓㄨㄥ'],['fēnzhōng'],"level-1-star, basic, context-core"
['附近'],128,152,['ㄈㄨˋ ㄐㄧㄣˋ'],['fùjìn'],"level-1-star, basic, context-core"
['感冒'],24,37,['ㄍㄢˇ ㄇㄠˋ'],['gǎnmào'],"level-1-star, basic, context-health-medical"
['告訴'],546,363,['ㄍㄠˋ ㄙㄨˋ'],['gàosu'],"level-1-star, basic, context-core"
['歌'],68,57,['ㄍㄜ'],['gē'],"level-1-star, basic, context-core"
['跟'],1038,3969,['ㄍㄣ'],['gēn'],"level-1-star, basic, context-core"
['公車'],18,34,['ㄍㄨㄥ ㄔㄜ'],['gōngchē'],"level-1-star, basic, context-travel-transport"
['公園'],52,95,['ㄍㄨㄥ ㄩㄢˊ'],['gōngyuán'],"level-1-star, basic, context-daily-routines"
['功課'],43,93,['ㄍㄨㄥ ㄎㄜˋ'],['gōngkè'],"level-1-star, basic, context-education-learning"
['夠'],209,267,['ㄍㄡˋ'],['gòu'],"level-1-star, basic, context-core"
['貴'],57,96,['ㄍㄨㄟˋ'],['guì'],"level-1-star, basic, context-personal-info"
['過'],1712,1404,['ㄍㄨㄛˋ'],['guò'],"level-1-star, basic, context-core"
['國家'],363,694,['ㄍㄨㄛˊ ㄐㄧㄚ'],['guójiā'],"level-1-star, basic, context-travel-transport"
['還'],2505,3842,['ㄏㄞˊ'],['hái'],"level-1-star, basic, context-core"
['還是'],626,1030,['ㄏㄞˊ ㄕˋ'],['háishì'],"level-1-star, basic, context-core"
['黑'],147,111,['ㄏㄟ'],['hēi'],"level-1-star, basic, context-core"
['紅'],137,139,['ㄏㄨㄥˊ'],['hóng'],"level-1-star, basic, context-core"
['後年'],1,0,['ㄏㄡˋ ㄋㄧㄢˊ'],['hòunián'],"level-1-star, basic, context-core"
['後天'],17,14,['ㄏㄡˋ ㄊㄧㄢ'],['hòutiān'],"level-1-star, basic, context-core"
['畫'],149,229,['ㄏㄨㄚˋ'],['huà'],"level-1-star, basic, context-core"
"['花', '花兒']",336,417,"['ㄏㄨㄚ', 'ㄏㄨㄚ ㄦ']","['huā', 'huār']","level-1-star, basic, context-core"
['會'],4147,6976,['ㄏㄨㄟˋ'],['huì'],"level-1-star, basic, context-core"
['火車'],58,75,['ㄏㄨㄛˇ ㄔㄜ'],['huǒchē'],"level-1-star, basic, context-travel-transport"
['雞'],69,61,['ㄐㄧ'],['jī'],"level-1-star, basic, context-personal-info"
['計程車'],24,23,['ㄐㄧˋ ㄔㄥˊ ㄔㄜ'],['jìchéngchē'],"level-1-star, basic, context-travel-transport"
['見'],727,293,['ㄐㄧㄢˋ'],['jiàn'],"level-1-star, basic, context-core"
['件'],563,461,['ㄐㄧㄢˋ'],['jiàn'],"level-1-star, basic, context-core"
['教'],193,340,['ㄐㄧㄠ'],['jiāo'],"level-1-star, basic, context-core"
['教室'],64,74,['ㄐㄧㄠˋ ㄕˋ'],['jiàoshì'],"level-1-star, basic, context-education-learning"
