"id","word","written_freq","spoken_freq","zhuyin","pinyin","tags"
100,"人",6185,4296,"ㄖㄣˊ","rén","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
101,"日",275,133,"ㄖˋ","rì","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
102,"容易",362,404,"ㄖㄨㄥˊ ㄧˋ","róngyì","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
103,"三",1267,868,"ㄙㄢ","sān","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
104,"上",4977,3509,"ㄕㄤˋ","shàng","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
105,"上午",26,14,"ㄕㄤˋ ㄨˇ","shàngwǔ","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
106,"少",204,340,"ㄕㄠˇ","shǎo","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
107,"誰",456,283,"ㄕㄟˊ","shéi","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
108,"什麼/甚麼",1754,2650,"ㄕㄣˊ ˙ㄇㄜ","shénme","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
109,"十",320,293,"ㄕˊ","shí","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
110,"是",18291,28602,"ㄕˋ","shì","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
111,"時候",844,3606,"ㄕˊ ㄏㄡˋ","shíhòu","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
112,"時間",865,1063,"ㄕˊ ㄐㄧㄢ","shíjiān","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
113,"手機",39,61,"ㄕㄡˇ ㄐㄧ","shǒujī","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-social-relations"
114,"書",767,457,"ㄕㄨ","shū","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
115,"水",342,1245,"ㄕㄨㄟˇ","shuǐ","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
116,"睡覺",65,88,"ㄕㄨㄟˋ ㄐㄧㄠˋ","shuìjiào","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
117,"說",5312,6283,"ㄕㄨㄛ","shuō","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
118,"四",553,423,"ㄙˋ","sì","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
119,"歲",574,521,"ㄙㄨㄟˋ","suì","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
